栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
3130,481332_101432,125931787,160,169,2005,29,-100
2875,481367_101558,17854861,352,347,1267,26,-104
729,481364_101504,125890571,329,352,220,25,-94
3033,481300_101452,125890571,133,163,1758,25,-89
263,481371_101492,125870872,308,27,125,45,-113
2432,481373_101513,125870872,330,359,636,45,-114
1698,481356_101524,125931787,3,354,388,29,-116
2008,481356_101527,17854861,358,349,453,26,-90
2736,481398_101455,125870872,112,168,1004,45,-102
2524,481385_101505,125890571,345,347,691,25,-127
1970,481374_101505,125890571,339,348,444,25,-92
895,481378_101479,125870872,118,154,251,45,-102
2973,481295_101473,125931787,204,168,1533,29,-117
1082,481349_101522,125931787,339,356,284,29,-74
730,481365_101499,125890571,1,351,220,25,-97
2464,481350_101485,17854861,142,163,650,26,-97
1491,481388_101487,125870872,62,10,353,45,-92
1999,481364_101520,125931787,31,354,451,29,-85
2244,481320_101548,125932299,309,347,544,25,-94
2903,481314_101554,125931787,292,353,1325,29,-103
2952,481405_101532,125931787,40,351,1435,29,-128
2930,481354_101581,125932299,7,344,1378,25,-92
576,481354_101515,125931787,28,359,190,29,-109
2094,481371_101513,125890571,314,349,483,25,-104
343,481376_101483,125870872,114,138,144,45,-100
2601,481388_101488,125890571,15,346,807,25,-98
2350,481365_101478,125890571,62,350,593,25,-117
709,481382_101487,125870872,63,20,216,45,-92
1103,481382_101480,125870872,99,132,288,45,-106
1451,481369_101506,125890571,330,349,345,25,-105
1843,481373_101496,125890571,8,348,415,25,-100
1458,481362_101513,17854861,51,352,346,26,-99
364,481341_101512,125931787,252,139,149,29,-89
1829,481348_101538,125932299,47,348,413,25,-118
784,481307_101554,125890330,38,1,231,32,-93
1284,481334_101507,17854861,225,159,320,26,-98
1441,481339_101542,125932299,12,347,344,25,-92
2150,481366_101521,17854861,31,349,503,26,-90
1959,481362_101522,125931787,22,354,442,29,-93
3091,481267_101530,17854861,254,163,1913,26,-79
2504,481290_101536,125890330,342,353,678,32,-112
1342,481346_101534,125932299,57,350,329,25,-108
775,481357_101491,125890571,74,9,229,25,-111
137,481336_101531,125932299,50,8,89,25,-97
2126,481318_101544,125932299,299,348,493,25,-89
1032,481359_101510,17854861,63,358,274,26,-105
2715,481350_101495,125932299,136,160,956,25,-100
1949,481385_101501,125870872,12,1,438,45,-99
383,481311_101545,125890330,327,5,154,32,-84
934,481358_101510,125890571,279,17,257,25,-108
2593,481386_101485,125890571,21,346,797,25,-102
207,481312_101552,125890330,45,14,110,32,-100
1667,481380_101474,125870872,121,162,382,45,-113
2405,481382_101505,125890571,343,347,623,25,-110
2967,481329_101568,17854861,311,347,1492,26,-104
3081,481369_101438,125931787,132,168,1892,29,-100
896,481380_101495,125870872,14,5,251,45,-100
2177,481378_101500,125890571,354,347,518,25,-101
457,481362_101503,125890571,330,354,168,25,-100
2211,481363_101480,125890571,64,351,530,25,-100
1754,481390_101487,125870872,61,8,398,45,-96
428,481358_101506,125890571,288,12,162,25,-100
